to appreciate - ценить
relatives - родственники, родные
cripple - калека, инвалид
to tear - рвать, рваться, отрывать
lid - крышка, веко
evident - очевидный, явный, наглядный
plain - простой, обычный, ясный, очевидный
boot - ботинок, сапог, бутса
stain - пятно, краска
sill - подоконник, порог
villain - злодей, преступник, негодяй
accessory - аксессуар, принадлежность, соучастник 
to deny - отрицать, отказывать
lodger - жилец, постоялец
beggar - нищий, бедняк, попрошайка
to pretend - притворяться, делать вид, представлять 
tiny - маленький, крошечный
stock - запас, склад
to pave - прокладывать, мостить, покрывать
pavement - тротуар, дорожное покрытие, мостовая
charity - благотворительность, милосердие 
leather - кожа
acquaintance - знакомство, знакомый, приятель
scar - шрам, рубец
outer - внешний, наружный
edge - край, грань, окраина
common - общий, обычный, единый, простой
feather  - перо, пёрышко
to sparkle - сверкать, блестеть
to faint - падать в обморок
sense - смысл, чувство, ощущение
sight - взгляд, вид
fault  - вина, неисправность, дефект, неполадка, брак, недочёт
to remedy  - устранять, исправлять
suspicious - подозрительный, недоверчивый
claim - заявление, иск, претензия
to claim - утверждать что-либо, претендовать на что-либо
to remain - оставаться
pocket - карман, скопление
to sweep - мести, вычищать, чистить
victim - жертсва, пострадавший
innocent - невинный, невиновный
to suspect - подозревать кого-либо/что-либо
witness - свидетель, очевидец
outskirts - окраина, предместья
counties - округа, графства, уезды
besides - кроме, кроме того, помимо
either - также, тоже, либо
frankly - откровенно, честно
envelope - конверт, оболочка
ink - чернила, тушь, краска
seal - уплотнение, печать, знак, уплотнитель
to seal - запечатывать что-либо
to chew - жевать, пережёвывать что-либо
unless - если не, только если, если только
forgery - подлог, подделка, фальшивка
discourage - отговаривать, обескураживать
to thrust - засовывать кого-либо, что-либо
to get rid of - избавиться от чего-либо, кого-либо
cosy - уютный, удобный
to disturb - беспокоить кого-либо, мешать кому-либо
inn - трактир, гостиница
convict - преступник, осуждённый, заключённый
to accuse - видвигать обвинения против, упрекать
to supply - поставлять, снабжать
to hold out - дотягивать, протягивать
to distinguish - различать, отличать, распознавать
obvious - очевидный, явный
to tie - завязывать, связывать
innocent - невинный, невиновный
at all - совсем, совершенно
forceps - пинцет, щипцы, клещи
lens - линза, объектив
shabby - поношенный, потёртый
to shatter - раздробить, разрушить, разбиться вдребезги
to chuckle - усмехаться, хихикать
cupboard - шкаф, шкафчик, буфет
to carry out - осуществлять, выполнять что-либо
threat - угроза, опасность
to fulfil - выполнять, исполнять, осуществлять что-либо, соответствовать чему-либо
suitcase - чемодан
agility - ловкость, быстрота, проворство
at once - сразу, тотчас
accidental - случайный, непредвиденный, непреднамеренный
will - желание, воля, завещание
to argue - утверждать, рассуждать, возражать, заявлять
to disturb - беспокоить, мешать, тревожить
estate - недвижимость, усадьба, поместье
draughts - шашки
speckled - пятнистый, пёстрый, в крапинку, испещрённый
objection - возражение, протест, несогласие
due - благодаря, из-за, по причине, в связи с
to fetch - приносить, извлекать
cunning - хитрость, коварство
sole - подошва
joy - радость, веселье, восторг
to kneel - преклонить колени, встать на колени
damp - влажный, сырой, мокрый
triffle - мелочь, пустяк
inarticulate - неразборчиво
to confess - исповедоваться, признаваться
waistcoat - жилет
pillow (cushion) - подушка
to brag - хвастаться, хвалиться, кичиться
mug - кружка, чашка
enormous - огромный, колоссальный, небывалый, невероятный, громадный
delight - удовольствие, восторг, радость
temper - темперамент, нрав, характер
to hiss - свистеть, шипеть
saucer - блюдце, подставка, тарелка
rope - верёвка, канат, трос
income - доход, доходы, прибыль
howling - вой, завывание
lawn - газон, лужайка, батист
to dare - отваживаться
to mop - мыть, драить, убирать
mop - швабра, копна, шевелюра
indifferently - равнодушно, безразлично
ceiling - потолок
feature - функция, особенность, характерная черта
statement - высказывание, отчёт, заявление, утверждение
vain - пустой, тщеславный, напрасный
to insist - настаивать, утверждать
injury - травма, вред, повреждение
to shave - бриться, брить, сбривать
sleeve - рукав
gloomy - мрачный, угрюмый, хмурый
to carry - нести, возить, таскать
sharply - резко, решительно
coarsely - грубо, приблизительно
to protrude - выходить, выступать наружу
tattered - изорванный, оборванный, драный
forehead - лоб
jug - кувшин
bark - кора
to obey - повиноваться, подчиняться
destiny - судьба, участь
to resemble - походить на кого-либо, быть похожим на кого-либо
cellar - погреб, подвал
slit - прорезь, щель, разрез
to amuse - развлекать кого-либо
faithful - верный, преданный
shade - оттенок, тень
tint - оттенок, тон
chestnut - каштан
cockroach - таракан
right away - сразу
carpenter - плотник, столяр
to deserve - заслуживать
moustache - усы
interrogation - допрос, дознание
facial - лицевой
admiration - восхищение, восторг
fondness - пристрастие, любовь
handcuffs - наручники
coolness - хладнокровие, невозмутимость
collar - воротник, ошейник
handling - обработка, обращение, управление
to preserve - оберегать, сохранять
precaution - мера предосторожности
purse - кошелёк, сумка, денежный фонд
to pat - похлопывать, шлёпать
despair - отчаяние, безысходность
grief - горе, скорбь, печаль
jerk - рывок, толчок
broad - широкий, обширный, полный
gash - рана, надрез, прорезь
spark - искра, огонёк, проблеск
glint - блеск, вспышка
stern - суровый, жёсткий
lantern - фонарь, лампа, светильник
to baffle - препятствовать, мешать кому-либо, сбивать с толку
magnificent - великолепный, прекрасный, восхитительный
hedge - изгородь, ограда
rage - ярость, гнев
treasure - сокровища, клад, драгоценность
branch - филиал, отделение, отрасль, ветвь
bold - смелый, дерзкий, отважный
weariness - усталость, утомление
affection - любовь, привязанность, симпатия
wistful - задумчивый, тоскливый, меланхоличный
digestion - пищеварение, переваривание, усвоение
beyond - за, за пределами, вне, сверх
intruder - злоумышленник, нарушитель
to pursue - преследовать, продолжать, гнаться за кем-либо
belly - живот,брюхо
flesh - плоть, мясо
to hint - намекать
to arise - возникать, появляться, подниматься
to cease - прекращать, приостанавливать
leap - скачок, прыжок, прорыв
chase - погоня, преследование, охота
to snarl - рычать, огрызаться
rifle - винтовка, карабин, ружьё
meantime - тем временем, между тем
grip - захват, сцепление, контроль, хватка
conscious - осознанный, сознательный
unbearable - нестерпимый, невыносимый
mitten - варежка, рукавица
thus - таким образом
arrogance - высокомерие, надменность
vain - пустой, тщеславный, напрасный
anticipation - ожидание, предвидение, предвкушение
deliberate - преднамеренный, умышленный, обдуманный, взвешенный
brute - зверь, животное
to strave - голодать, морить кого-либо
lean - тощий, худой
corresponding - соответствующий, подобный
advance - прогресс, наступление
menacing - зловещий, угрожающий, опасный
dubious - сомнительный, неопределённый
nostril - ноздря
wound - рана, ранение, обида
remnant - остаток, пережиток
plenty - множество, обилие, избыток
fierce - свирепый, ожесточённый, жестокий
savage - дикарь, варвар, грубиян
abreast - в ряд, на одной линии
harness - сбруя, упряжь
obstacle - преграда, препятствие, помеха
breed - порода, род, племя, сорт
caressing - ласковый
cub - детёныш
squeal - визг, скрип, вопль
entire - весь, целый
lynx - рысь
porcupine - дикобраз
nevertheless - всё-таки, всё же
jealous - ревнивый, завидующий
to persuade - склонять, убеждать, уговаривать
sigh - вздох
to embrace - обниматься, обнимать, обхватывать
midst - середина, средь. посреди
curiosity - любопытство, любознательность
slope - склон, спуск, наклон, скат
hostile - враждебный, недружелюбный
obedience - послушание, повиновение, покорность
therefore - поэтому, таким образом, так что
remuneration - вознаграждение, оплата, гонорар
mere - простой, чистый
to bury - закапывать, хоронить, зарывать
claw - коготь, клешня
revenge - реванш, месть, отмщение
rapid - бурный, быстрый, стремительный, оперативный
legacy - достояние, наследие, наследство
to forbade - запрещать, не позволять
painstaking - кропотливая работа
lair - логово, берлога
barely - едва, мало, лишь
populous - густонаселённый, многолюдный
to lurk - таиться, скрываться
soothing - успокаивающий, смягчающий
somewhat - немного, в некоторой степени
apparently - очевидно, видимо, по-видимому
tribe - племя. род, клан
beaver - бобр, бобёр
to wilt - вянуть, поникнуть
endurance - выносливость, прочность, стойкость
invariably - неизменно, постоянно
vengeance - возмездие, месть
outcast - изгнанник, изгой
to get along - обходиться, ладить, найти общий язык
to wail - вопить, причитать, выть, стенать
to sorrow - скорбеть, горевать
sacred - святой, священный, сакральный
sore - болячка, рана, ранка
bruise - синяк, гематома, кровоподтёк
likewise - также, аналогично
to stumble - спотыкаться, оступаться, ошибаться
to utter - произносить, проговаривать
mournful - грустный, жалостливый, горестный
to afflict - огорчать, беспокоить, тревожить
dense - густой, плотный, непрозрачный
wrath - гнев, ярость
outlet - выход, розетка, отвод, торговая точка
to detain - задерживать, удерживать
morose - угрюмый, замкнутый
to enforce - обеспечивать исполнение, приводить что-либо в исполнение
invincible - непобедимый, несокрушимый
to surrender - сдаваться, капитулировать
to descend - спускаться, сходить, снизойти до чего-либо
to bare - оголять, обнажать
to bristle - топорщиться
concrete - бетон, цемент
ancestor - предок, родоначальник, предшественник
primacy - примат, первенство, верховенство
to tame - укрощать, усмирять, приручать
dim - тусклый, мутный, приглушённый
to postpone - откладывать, переносить
fierce - свирепый, ожесточённый, жестокий
to swallow - глотать, сдерживать, подавлять
to groan - стонать, охать
to grunt - хрюкать, ворчать
oblong - продолговатый, вытянутый
sled - сани, санки, упряжка
eternity - вечность, бесконечность
merit - заслуга, достоинство
to endure  - выдержать, вытерпеть, пройти через что-либо
solitary - одиночка, отшельник
jealousy - ревность, зависть
taut - натянутый, подтянутый, упругий
whip - плеть, кнут хлыст
strap - ремень, ремешок
covenant - завет, пакт, соглашение
participant - участник
shambles - руины, разруха, развалины
to resent - возмущаться, негодовать
joyous - радостный, весёлый, довольный
vaguely - смутно, туманно, неточно
regard - внимание, почтение, забота
faith - вера, вероисповедание
dignity - достоинство, сан, гордость
collocation - словосочетание, коллокация
malice - злоба, злость
scrawny - костлявый, тощий
thoroughly - тщательно, основательно
splendid - великолепный, прекрасный, роскошный
to mould - отливать, формировать, лепить
bitter - горький, суровый, жестокий
scatter - разброс, разбег
to offend - оскорбить, обидеть
offender - преступник, нарушитель
stroke - ход, удар, инсульт
clumsy - неуклюжий, неповоротливый
steamer  - пароход, отпариватель
manifestation - проявление, манифестация
to exceed - превышать, превосходить
profit - доход, прибыль, выгода
praise - похвала, хвала, восхваление
loose - свободный, рыхлый, распущенный, просторный
former - бывший, прежний, предыдущий, прошлый
torment - мука, мучение, терзание
to tease - дразнить, разжигать интерес, подначивать
to reign - царствовать, править, преобладать
to cling - цепляться, льнуть, облегать, держать, прилипать
deck - палуба, площадка
to sever - разорвать, оборвать, порвать, отрезать
to estimate - оценивать, прикидывать
sober - трезвый, сдержанный, рассудительный
fidelity - верность, точность, преданность, чёткость
to redeem - выкупать, искуплять
shivering - дрожь, озноб, дрожание
treachery - предательство, подлость, вероломство
loose - свободный, рыхлый, распущенный
reluctant - вынужденный, неохотный, нерасположенный
indomitable - неукротимый, несгибаемый, упрямый
to loosen - рыхлить, ослаблять
muzzle - морда, намордник, дуло
apprehension - опасение, понимание, задержание
to glare - сверлить взглядом
decisive - решительный, окончательный, решающий
to snuggle - прижиматься, уютно устраиваться, прислоняться
to suffocate - захлёбываться, задыхаться
revolt - восстание, бунт, мятеж
bedding - постельное бельё
irritable - раздражительный
to vanish - исчезать, пропадать, стремиться к нулю
to expose - раскрывать, выявлять, выставлять, обнажать
squat - корточки, приседание
haste - поспешность, спешка, торопливость
marvellous - чудесный, замечательный, изумительный
to grasp - понять, улавливать, постигать, схватывать
to duck - нырять, уворачиваться, наклонять
to dodge - уклоняться, изворачиваться, избегать
prosperous - процветающий, благополучный, зажиточный
to irritate - раздражать, сердить, злить
slight - лёгкий, небольшой, незначительный
allegiance - верность, преданность
inevitable - неизбежный, неотвратимый
malignant - злокачественный, злобный, вредоносный
harsh - суровый, резкий, жёсткий, грубый
sane - разумный, вменяемый, здравый
indignation - возмущение, негодование
violation - нарушение, надругательство, насилие
furthermore - кроме того, также, к тому же
to distort - искажать, искривлять, деформировать
coward - трус, трусиха
muddy - илистый, грязный, мутный
stick around - оставаться поблизости, держаться рядом
powder - порошок, пудра, порох
disdain - презрение, пренебрежение
prolonged - длительный, продолжительный, продлённый
marvel - чудо, диво
to declare - заявять, объявить
refuge - убежище, прибежище
snare - ловушка, западня
vaguely - смутно, туманно, неточно
regard - внимание, почтение, забота
custom - обычай, традиция, привычка
namely - а именно, то есть, конкретно
survey - опрос, обследование, исследование
preference - предпочтение, преимущество
to acknowledge - подтверждать, сознавать
starvation - голодание, голод, истощение
pasture - выгон, пастбище
to dismount - снимать, разбирать, демонтировать, спешиваться
wholehearted - искренний, беззаветный
quizzical - шутливый, насмешливый, вопросительный
elusive - неуловимый, ускользающий
drowsiness - сонливость, вялость
to loathe - ненавидеть, презирать, отрицательно относиться
sufficient - достаточный, надлежащий
to adjust - регулировать, корректировать, настраивать
to admit - признавать, допускать, принимать
chamber - палата, камера, комната
swift - быстрый, стремительный, скорый
to pace - шагать, расхаживать, идти шагом
to employ - использовать, нанимать, трудоустраивать
to woo - свататься, ухаживать, добиваться расположения
to summon - вызывать, призывать
rescue - спасение, освобождение
precise - точный, конкретный, чёткий
peculiar - своеобразный, особый, необычный, особенный
to endeavour - стремиться, пытаться, прилагать усилия
presumably - предположительно, вероятно
insensibly - незаметно, неощутимо
incisive - острый, язвительный, колкий, проницательный
languid - вялый
to implicate - вовлекать, впутывать, делать кого-либо причастным
to quench - утолять, гасить, заливать, тушить
shelter - приют, убежище, укрытие
rumble - гул, грохот, шум
discretion - благоразумие, усмотрение, осмотрительность
ado - суматоха
rampage - буйство, ярость, неистовство, бешенство
sneeze - чиханье, чих
obstinacy - упорство, упрямство
curb - бордюр, бортик, обочина
hoof - копыто
trifling - незначительный, пустячный, плёвый
riot - бунт, беспорядки, буйство
figment - вымысел, фикция
remorse - раскаяние, сожаление
to holler - кричать, вопить
to confide - доверять, поручать
to conceal - скрывать, таить
to hurl - метать, бросать, швырять
to condescend - снисходить, унижаться
ado - суматоха
rampage - буйство, ярость, неистовство
sneeze - чиханье, чих
obstinacy - упорство, упрямство
curb - бордюр, бортик, обочина
hoof - копыто
chamois - замша
betrothal - обручение, помолвка
resolute - решительный, непоколебимый
reproach - укор, упрёк
errand - поручение, задание
to waylay - подстерегать, устраивать засаду
to ransack - грабить, обыскивать, искать
indiscretion - неосмотрительность, неосторожность
to entangle - путать, запутывать кого-либо/что-либо
docket - выписка, перечень, вести книгу записей
garbage - мусор, отбросы
pathos - пафос, энтузиазм, трогательность
recon - разведка, проводить разведку
to adopt - принимать, усыновлять
trifling - незначительный, пустячный, плёвый
imperfection - несовершенство, дефект, недостаток
to refrain - воздерживаться, удерживаться
vile - гнусный, мерзкий, подлый
hence - следовательно, поэтому, таким образом
to scrape - царапать, скрести, чистить
extortion - вымогательство, побор, шантаж
to kidnap - похищать
to depict - обрисовывать, отображать
to kidnap - похищать
incorrigible - неисправимый
trifle - мелочь, пустяк, чуть-чуть
wedlock - брак, супружество, законный брак
vague - смутный, туманный, расплывчатый
